Compressive strength of cement fce(MPa),Tensile strength of cement fct(MPa),Curing age (day),Dmax of Crushed stone (mm),Stone powder content in Sand (%),Fineness modulus of sand,W/B,Water to cement ratio mw/mc,Water (kg/m3),Sand ratio (%),Slump (mm),"Compressive strength
,,28,80,16,2.88,0.5,0.625,110,26,61,32.5,2.88
,,28,80,16,2.73,0.5,0.625,110,26,51,35.8,2.73
,,28,80,16,2.73,0.5,0.625,110,28,52,30.2,2.4
,,28,80,21,2.54,0.4,0.5,110,24,56,39.6,2.74
,,28,80,21,2.54,0.5,0.625,110,26,58,30.7,2.47
,,28,80,21,2.54,0.6,0.75,110,28,53,36.5,2.14
,,7,,0,,0.4,0.4,190,30,10,37.2,2.45
,,7,,10,,0.4,0.4,190,30,10,29.6,2.69
,,7,,20,,0.4,0.4,190,30,10,38.4,2.4
,,7,,30,,0.4,0.4,190,30,10,41.1,2.78
,,7,,40,,0.4,0.4,190,30,10,42.5,3.07
,,7,,0,,0.7,0.7,190,34,10,16.4,1.13
,,7,,10,,0.7,0.7,190,34,10,17.9,1.36
,,7,,20,,0.7,0.7,190,34,10,16.3,1.08
,,7,,30,,0.7,0.7,190,34,10,19.7,1.47
,,7,,40,,0.7,0.7,190,34,10,21,1.38
,,7,,0,,1,1,190,42,10,7.9,0.62
,,7,,10,,1,1,190,42,10,9.5,0.71
,,7,,20,,1,1,190,42,10,10.5,0.8
,,7,,30,,1,1,190,42,10,12.4,0.99
,,7,,40,,1,1,190,42,10,13.1,1.11
,,28,,0,,0.4,0.4,190,30,10,46.4,2.88
,,28,,10,,0.4,0.4,190,30,10,48.1,3.01
,,28,,20,,0.4,0.4,190,30,10,50.5,3.23
,,28,,30,,0.4,0.4,190,30,10,50.1,2.9
,,28,,40,,0.4,0.4,190,30,10,51.6,3.15
,,28,,0,,0.7,0.7,190,34,10,23.8,1.82
,,28,,10,,0.7,0.7,190,34,10,24.4,1.9
,,28,,20,,0.7,0.7,190,34,10,27.7,1.62
,,28,,30,,0.7,0.7,190,34,10,25.7,1.86
,,28,,40,,0.7,0.7,190,34,10,26.7,1.58
,,28,,0,,1,1,190,42,10,14.1,0.98
,,28,,10,,1,1,190,42,10,13,1.18
,,28,,20,,1,1,190,42,10,14.2,1.23
,,28,,30,,1,1,190,42,10,17.2,1.33
,,28,,40,,1,1,190,42,10,17.3,1.39
,,7,80,15,2.8,0.5,0.66,104,30,44,20.4,1.61
,,7,80,15,2.8,0.5,0.66,108,30,49,19.9,1.57
,,7,80,15,2.8,0.5,0.66,110,30,36,19.2,1.53
,,7,80,15,2.8,0.5,0.66,114,30,45,18.4,1.5
,,7,80,15,2.8,0.5,0.66,115,30,40,18.4,1.5
,,28,80,15,2.8,0.5,0.66,104,30,44,29.7,3.04
,,28,80,15,2.8,0.5,0.66,108,30,49,29.7,3.02
,,28,80,15,2.8,0.5,0.66,110,30,36,28.5,2.91
,,28,80,15,2.8,0.5,0.66,114,30,45,27.4,2.84
,,28,80,15,2.8,0.5,0.66,115,30,40,27.1,2.75
,,90,80,15,2.8,0.5,0.66,104,30,44,40.9,3.43
,,90,80,15,2.8,0.5,0.66,108,30,49,40.2,3.37
,,90,80,15,2.8,0.5,0.66,110,30,36,39.4,3.26
,,90,80,15,2.8,0.5,0.66,114,30,45,38.3,3.19
,,90,80,15,2.8,0.5,0.66,115,30,40,37.5,3.15
,,28,,24,2.7,0.57,0.57,192,35,86,21.8,2.41
,,28,,24,2.7,0.43,0.43,193,32,80,39.7,3.68
,,7,120,12.1,2.56,0.55,0.92,83.5,26.5,55,8.1,0.56
,,7,120,12.1,2.56,0.55,0.92,83.5,26.5,42,9.7,0.68
,,7,120,12.1,2.56,0.55,0.92,83.5,27,55,9.9,0.72
,,7,120,12.1,2.56,0.55,0.92,83.5,27,49,10.7,0.8
,,7,120,12.1,2.56,0.45,0.64,98,29.5,60,15.2,1.2
,,7,120,12.1,2.56,0.45,0.64,98,29.5,46,16.7,1.21
,,7,120,12.1,2.56,0.45,0.64,98,30,54,19.2,1.38
,,7,120,12.1,2.56,0.45,0.64,98,30,51,19.6,1.31
,,28,120,12.1,2.56,0.55,0.92,83.5,26.5,55,12.6,0.95
,,28,120,12.1,2.56,0.55,0.92,83.5,26.5,42,14.7,1.12
,,28,120,12.1,2.56,0.55,0.92,83.5,27,55,16.4,1.39
,,28,120,12.1,2.56,0.55,0.92,83.5,27,49,16.6,1.41
,,28,80,12.1,2.56,0.45,0.64,98,29.5,60,23.5,1.73
,,28,80,12.1,2.56,0.45,0.64,98,29.5,46,26.7,1.78
,,28,80,12.1,2.56,0.45,0.64,98,30,54,28.3,1.88
,,28,80,12.1,2.56,0.45,0.64,98,30,51,31.1,2.08
,,90,120,12.1,2.56,0.55,0.92,83.5,26.5,55,21.1,1.51
,,90,120,12.1,2.56,0.55,0.92,83.5,26.5,42,24.2,1.65
,,90,120,12.1,2.56,0.55,0.92,83.5,27,55,26.8,1.76
,,90,120,12.1,2.56,0.55,0.92,83.5,27,49,26.1,2.11
,,90,120,12.1,2.56,0.45,0.64,98,29.5,60,36.7,2.45
,,90,120,12.1,2.56,0.45,0.64,98,29.5,46,37,2.44
,,90,120,12.1,2.56,0.45,0.64,98,30,54,40.4,2.65
,,90,120,12.1,2.56,0.45,0.64,98,30,51,41.1,2.9
,,7,,11.2,2.44,0.45,0.64,87,27,57,18.6,1.43
,,7,,11.2,2.44,0.45,0.64,87,26,47,12.9,1.03
,,7,,11.2,2.44,0.5,0.83,87,28,52,13.3,0.98
,,7,,11.2,2.44,0.5,0.83,87,27,42,9.6,0.71
,,7,40,13,2.68,0.5,0.83,89,36,10,15.5,0.79
,,7,40,13,2.68,0.5,1,88,36,10,11.9,0.72
,,7,40,13,2.68,0.5,1.11,88,36,10,9.3,0.61
,,7,40,11.2,2.44,0.5,0.83,103,36,10,11.6,0.9
,,7,40,11.2,2.44,0.5,1,102,36,10,9.2,0.72
,,7,40,11.2,2.44,0.5,1.11,102,36,10,7.8,0.65
,,28,,11.2,2.44,0.45,0.64,87,27,57,29.8,2.23
,,28,,11.2,2.44,0.45,0.64,87,26,47,22.3,1.56
,,28,,11.2,2.44,0.5,0.83,87,28,52,23.5,1.73
,,28,,11.2,2.44,0.5,0.83,87,27,42,18,1.46
,,28,40,13,2.68,0.5,0.83,89,36,10,23.6,2.04
,,28,40,13,2.68,0.5,1,88,36,10,21.5,1.8
,,28,40,13,2.68,0.5,1.11,88,36,10,19.9,1.62
,,28,40,11.2,2.44,0.5,0.83,103,36,10,21.6,1.96
,,28,40,11.2,2.44,0.5,1,102,36,10,20,1.69
,,28,40,11.2,2.44,0.5,1.11,102,36,10,18.5,1.53
,,90,40,13,2.68,0.5,0.83,89,36,10,32.8,2.2
,,90,40,13,2.68,0.5,1,88,36,10,28,2.12
,,90,40,13,2.68,0.5,1.11,88,36,10,25.5,2.1
,,90,40,11.2,2.44,0.5,0.83,103,36,10,29.8,2.52
,,90,40,11.2,2.44,0.5,1,102,36,10,27.8,2.18
,,90,40,11.2,2.44,0.5,1.11,102,36,10,26.9,1.95
,,28,80,10.8,2.42,0.45,0.64,98,30,33,28.8,1.71
,,28,80,12.4,2.57,0.45,0.64,95,31,40,30.6,1.99
,,28,120,10.8,2.42,0.55,0.92,88,27,42,14.7,1.1
,,28,120,12.4,2.57,0.55,0.92,85,28,45,20.2,1.43
,,90,80,10.8,2.42,0.45,0.64,98,30,33,41.3,2.33
,,90,80,12.4,2.57,0.45,0.64,95,31,40,44,3
,,90,120,10.8,2.42,0.55,0.92,88,27,42,24.8,1.8
,,90,120,12.4,2.57,0.55,0.92,85,28,45,30.9,2.26
62.4,8.4,7,40,11.9,2.86,0.5,0.83,88,,10,15.5,0.79
62.4,8.4,7,40,11.9,2.86,0.5,1,88,,10,11.9,0.72
62.4,8.4,7,40,11.9,2.86,0.5,1.11,88,,10,9.3,0.61
62.4,8.4,7,40,11.9,2.86,0.5,1.11,88,,10,7.5,0.6
62.4,8.4,7,40,11.9,2.86,0.5,1.25,88,,10,7.8,0.47
62.4,8.4,7,40,11.9,2.86,0.5,1.43,88,,10,5.8,0.46
62.4,8.4,7,40,6.1,2.92,0.5,0.83,102,,10,11.6,0.9
62.4,8.4,7,40,6.1,2.92,0.5,1,102,,10,9.2,0.72
62.4,8.4,7,40,6.1,2.92,0.5,1.11,102,,10,7.8,0.65
62.4,8.4,7,60,11.9,2.86,0.5,0.83,75,,10,14,1.18
62.4,8.4,7,60,11.9,2.86,0.5,1,75,,10,12.5,0.84
62.4,8.4,7,60,11.9,2.86,0.5,1.11,75,,10,9.2,0.62
62.4,8.4,7,60,11.9,2.86,0.5,1.25,75,,10,8.3,0.57
62.4,8.4,7,60,11.9,2.86,0.5,1.43,75,,10,6.9,0.56
62.4,8.4,7,80,11.9,2.86,0.5,0.83,71,,10,15.2,0.96
62.4,8.4,7,80,11.9,2.86,0.5,1,71,,10,12.9,0.86
62.4,8.4,7,80,11.9,2.86,0.5,1.11,71,,10,10.3,0.65
62.4,8.4,7,80,11.9,2.86,0.5,1.11,71,,10,9,0.64
62.4,8.4,7,80,11.9,2.86,0.5,1.25,71,,10,7.4,0.52
62.4,8.4,7,80,11.9,2.86,0.5,1.43,71,,10,4.8,0.35
62.4,8.4,7,80,6.1,2.92,0.5,0.83,82,,10,12.4,0.96
62.4,8.4,7,80,6.1,2.92,0.5,1,82,,10,9.2,0.72
62.4,8.4,7,80,6.1,2.92,0.5,1.11,82,,10,6.8,0.55
62.4,8.4,7,80,6.1,2.92,0.5,1.25,82,,10,6.5,0.54
62.4,8.4,7,80,6.1,2.92,0.5,1.43,82,,10,6.8,0.54
62.4,8.4,28,40,11.9,2.86,0.5,0.83,88,,10,23.6,2.04
62.4,8.4,28,40,11.9,2.86,0.5,1,88,,10,21.5,1.8
62.4,8.4,28,40,11.9,2.86,0.5,1.11,88,,10,19.9,1.62
62.4,8.4,28,40,11.9,2.86,0.5,1.11,88,,10,13.2,1.13
62.4,8.4,28,40,11.9,2.86,0.5,1.25,88,,10,15.9,1.4
62.4,8.4,28,40,11.9,2.86,0.5,1.43,88,,10,11.3,1.08
62.4,8.4,28,40,6.1,2.92,0.5,0.83,102,,10,21.6,1.96
62.4,8.4,28,40,6.1,2.92,0.5,1,102,,10,20,1.69
62.4,8.4,28,40,6.1,2.92,0.5,1.11,102,,10,18.5,1.53
62.4,8.4,28,60,11.9,2.86,0.5,0.83,75,,10,24.5,2.18
62.4,8.4,28,60,11.9,2.86,0.5,1,75,,10,21.4,1.63
62.4,8.4,28,60,11.9,2.86,0.5,1.11,75,,10,19.6,1.26
62.4,8.4,28,60,11.9,2.86,0.5,1.25,75,,10,16.9,1.09
62.4,8.4,28,60,11.9,2.86,0.5,1.43,75,,10,13.2,1.02
62.4,8.4,28,80,11.9,2.86,0.5,0.83,71,,10,24.1,2.1
62.4,8.4,28,80,11.9,2.86,0.5,1,71,,10,21.5,1.8
62.4,8.4,28,80,11.9,2.86,0.5,1.11,71,,10,20.1,1.6
62.4,8.4,28,80,11.9,2.86,0.5,1.11,71,,10,16.2,1.46
62.4,8.4,28,80,11.9,2.86,0.5,1.25,71,,10,14.9,1.45
62.4,8.4,28,80,11.9,2.86,0.5,1.43,71,,10,10.1,1.08
62.4,8.4,28,80,6.1,2.92,0.5,0.83,82,,10,21.8,1.92
62.4,8.4,28,80,6.1,2.92,0.5,1,82,,10,18.9,1.42
62.4,8.4,28,80,6.1,2.92,0.5,1.11,82,,10,14,1.06
62.4,8.4,28,80,6.1,2.92,0.5,1.25,82,,10,13.5,1.11
62.4,8.4,28,80,6.1,2.92,0.5,1.43,82,,10,12.9,1.16
62.4,8.4,90,40,11.9,2.86,0.5,0.83,88,,10,32.8,2.2
62.4,8.4,90,40,11.9,2.86,0.5,1,88,,10,28,2.12
62.4,8.4,90,40,11.9,2.86,0.5,1.11,88,,10,25.5,2.1
62.4,8.4,90,40,11.9,2.86,0.5,1.11,88,,10,24.4,2.09
62.4,8.4,90,40,11.9,2.86,0.5,1.25,88,,10,22.9,2.05
62.4,8.4,90,40,11.9,2.86,0.5,1.43,88,,10,20.8,1.99
62.4,8.4,90,40,6.1,2.92,0.5,0.83,102,,10,29.8,2.52
62.4,8.4,90,40,6.1,2.92,0.5,1,102,,10,27.8,2.18
62.4,8.4,90,40,6.1,2.92,0.5,1.11,102,,10,26.9,1.95
62.4,8.4,90,60,11.9,2.86,0.5,0.83,75,,10,34.6,2.88
62.4,8.4,90,60,11.9,2.86,0.5,1,75,,10,27.9,2.29
62.4,8.4,90,60,11.9,2.86,0.5,1.11,75,,10,24.3,2.08
62.4,8.4,90,60,11.9,2.86,0.5,1.25,75,,10,23.5,1.93
62.4,8.4,90,60,11.9,2.86,0.5,1.43,75,,10,22.5,1.8
62.4,8.4,90,80,11.9,2.86,0.5,0.83,71,,10,33.4,2.45
62.4,8.4,90,80,11.9,2.86,0.5,1,71,,10,30.1,2.2
62.4,8.4,90,80,11.9,2.86,0.5,1.11,71,,10,29.1,2.13
62.4,8.4,90,80,11.9,2.86,0.5,1.11,71,,10,21.5,1.9
62.4,8.4,90,80,11.9,2.86,0.5,1.25,71,,10,20.2,2.05
62.4,8.4,90,80,11.9,2.86,0.5,1.43,71,,10,17.5,1.87
62.4,8.4,90,80,6.1,2.92,0.5,0.83,82,,10,30.2,2.49
62.4,8.4,90,80,6.1,2.92,0.5,1,82,,10,28.2,2.21
62.4,8.4,90,80,6.1,2.92,0.5,1.11,82,,10,27.7,2.1
62.4,8.4,90,80,6.1,2.92,0.5,1.25,82,,10,27,2.01
62.4,8.4,90,80,6.1,2.92,0.5,1.43,82,,10,26.5,2
,,7,80,6,2.68,0.5,0.67,104,30,50,15.2,1.44
,,7,80,9,2.68,0.5,0.67,112,30,48,15.2,1.56
,,7,80,12,2.68,0.5,0.67,114,30,50,16.4,1.59
,,7,80,15,2.68,0.5,0.67,115,30,40,18.5,1.5
,,7,80,18,2.68,0.5,0.67,117,30,44,16.2,1.62
,,7,80,15,2.68,0.5,0.67,110,30,36,18.2,1.7
,,7,80,15,2.68,0.5,0.67,108,30,49,15.8,1.58
,,7,80,9,2.68,0.5,,111,30,41,16.6,1.54
,,7,80,6,2.68,0.5,,112,30,50,17.2,1.58
,,28,80,6,2.68,0.5,0.67,104,30,50,22.6,2.49
,,28,80,9,2.68,0.5,0.67,112,30,48,26.2,2.33
,,28,80,12,2.68,0.5,0.67,114,30,50,24.2,2.36
,,28,80,15,2.68,0.5,0.67,115,30,40,27.3,2.75
,,28,80,18,2.68,0.5,0.67,117,30,44,26.7,2.76
,,28,80,15,2.68,0.5,0.67,110,30,36,26.5,2.48
,,28,80,15,2.68,0.5,0.67,108,30,49,23.1,2.27
,,28,80,9,2.68,0.5,,111,30,41,28.2,2.97
,,28,80,6,2.68,0.5,,112,30,50,30.2,2.9
,,90,80,6,2.68,0.5,0.67,104,30,50,29.9,3.54
,,90,80,9,2.68,0.5,0.67,112,30,48,32,3.42
,,90,80,12,2.68,0.5,0.67,114,30,50,33,3.18
,,90,80,15,2.68,0.5,0.67,115,30,40,37.9,3.15
,,90,80,18,2.68,0.5,0.67,117,30,44,37.1,3.21
,,90,80,15,2.68,0.5,0.67,110,30,36,34.8,3.18
,,90,80,15,2.68,0.5,0.67,108,30,49,34.2,2.69
,,90,80,9,2.68,0.5,,111,30,41,32.6,3.14
,,90,80,6,2.68,0.5,,112,30,50,39.6,3.11
52.9,8.4,7,80,15,2.8,0.5,0.67,104,30,44,20.4,1.61
52.9,8.4,7,80,15,2.8,0.5,0.67,108,30,49,19.9,1.57
52.9,8.4,7,80,15,2.8,0.5,0.67,110,30,36,19.2,1.53
52.9,8.4,7,80,15,2.8,0.5,0.67,114,30,45,18.4,1.5
52.9,8.4,7,80,15,2.8,0.5,0.67,115,30,40,18.4,1.5
52.9,8.4,28,80,15,2.8,0.5,0.67,104,30,44,29.7,3.04
52.9,8.4,28,80,15,2.8,0.5,0.67,108,30,49,29.7,3.02
52.9,8.4,28,80,15,2.8,0.5,0.67,110,30,36,28.5,2.91
52.9,8.4,28,80,15,2.8,0.5,0.67,114,30,45,27.4,2.84
52.9,8.4,28,80,15,2.8,0.5,0.67,115,30,40,27.1,2.75
52.9,8.4,90,80,15,2.8,0.5,0.67,104,30,44,40.9,3.43
52.9,8.4,90,80,15,2.8,0.5,0.67,108,30,49,40.2,3.37
52.9,8.4,90,80,15,2.8,0.5,0.67,110,30,36,39.4,3.26
52.9,8.4,90,80,15,2.8,0.5,0.67,114,30,45,38.3,3.19
52.9,8.4,90,80,15,2.8,0.5,0.67,115,30,40,37.5,3.15
39.42,,7,12,19.2,,0.37,0.65,178.75,53,,26.56,1.92
39.42,,28,12,19.2,,0.37,0.65,178.75,53,,33.12,2.34
39.42,,90,12,19.2,,0.37,0.65,178.75,53,,39.94,3.32
39.42,,7,12,19.2,,0.34,0.55,178.75,53,,32.17,2.67
39.42,,28,12,19.2,,0.34,0.55,178.75,53,,40.49,3.03
39.42,,90,12,19.2,,0.34,0.55,178.75,53,,49.7,3.68
48.07,,7,12,19.2,,0.34,0.55,178.75,53,,43.15,2.9
48.07,,28,12,19.2,,0.34,0.55,178.75,53,,49.26,3.12
48.07,,90,12,19.2,,0.34,0.55,178.75,53,,63.7,4.1
48.07,,7,12,19.2,,0.31,0.45,180,53,,55.85,3.85
48.07,,28,12,19.2,,0.31,0.45,180,53,,63.72,3.86
48.07,,90,12,19.2,,0.31,0.45,180,53,,79.17,4.19
39.42,,7,12,19.2,,0.4,0.65,178.75,54,145,28,2.22
39.42,,28,12,19.2,,0.4,0.65,178.75,54,145,35.47,3.34
39.42,,90,12,19.2,,0.4,0.65,178.75,54,145,44.25,3.47
39.42,,7,12,19.2,,0.36,0.55,178.75,54,135,33.42,2.31
39.42,,28,12,19.2,,0.36,0.55,178.75,54,135,41.43,3.52
39.42,,90,12,19.2,,0.36,0.55,178.75,54,135,52.35,3.98
48.07,,7,12,19.2,,0.36,0.55,178.75,54,140,42.97,3.61
48.07,,28,12,19.2,,0.36,0.55,178.75,54,140,46.85,4.25
48.07,,90,12,19.2,,0.36,0.55,178.75,54,140,60.65,4.59
48.07,,7,12,19.2,,0.32,0.45,180,54,140,47.71,3.75
48.07,,28,12,19.2,,0.32,0.45,180,54,140,65.37,4.69
48.07,,90,12,19.2,,0.32,0.45,180,54,140,73.7,4.76
